CONS,ACC,gen,col,row,rep,sep_21_Y,may_22_Y,jul_22_Y,aug_22_Y,sep_22_Y,total_22,jul_22_Chloro,sep_21_PH,apr_22_PH,aug_22_PH
21,Plot 21,21,1,21,1,0.38,0.9,1.37,0.13,0.17,2.57,60.15,24.5,27.5,15.24
22,Plot 22,22,1,22,1,0.45,0.48,0.49,0.91,0.93,2.81,66.2,38,23,35.56
23,Plot 23,23,1,23,1,0.6,2.53,1.81,1.81,1.31,7.46,63.15,41.5,38,43.18
24,Plot 24,24,1,24,1,0.43,0.05,0.42,0.12,0.15,0.74,63.8,8.5,11.5,17.78
25,Plot 25,25,1,25,1,0.33,0.73,1.22,1.24,0.93,4.12,70.2,20.5,27,50.8
26,Plot 26,26,1,26,1,0.53,0.69,1.51,1.32,0.91,4.43,64.5,21,20.5,38.1
27,Plot 27,27,1,27,1,0.55,1.58,2.02,1.57,1.15,6.32,59.35,41.5,40,53.34
28,Plot 28,28,1,28,1,0.6,1.63,1.95,1.45,0.85,5.88,58.8,27,29,40.64
29,Plot 29,29,1,29,1,0.35,1.56,1.67,1.34,0.87,5.44,63.4,39.5,38.5,43.18
30,Plot 30,30,1,30,1,0.6,3.18,3.03,1.96,1.2,9.37,56.25,44.5,49,50.8
31,Plot 31,31,1,31,1,0.58,0.71,1.54,1.24,0.6,4.09,60.2,28.5,23.5,43.18
32,Plot 32,32,1,32,1,0.55,0.76,2.09,1.64,1.03,5.52,60.25,37,18.5,40.64
33,EXTRA,CK,1,33,1,NA,2.36,2.72,2.01,1.25,8.34,NA,NA,NA,53.34
34,Plot 33,33,2,1,1,0.28,0.43,1.89,0.87,0.55,3.74,60.4,21,20,35.56
35,Plot 34,34,2,2,1,0.68,3.01,2.61,1.5,1.38,8.5,60.3,45,43,45.72
36,Plot 35,35,2,3,1,0.63,2.8,3.13,2.2,1.47,9.6,65.5,38,40,53.34
37,Plot 36,36,2,4,1,0.15,0.05,0.16,0.25,0.18,0.64,54.95,21.5,23.5,38.1
38,Plot 37,37,2,5,1,0.68,2.83,2.88,1.43,1.1,8.24,66.6,32,30,45.72
39,Plot 38,38,2,6,1,0.48,1.97,2.16,0.88,0.41,5.42,63.65,30.5,22,38.1
40,Plot 39,39,2,7,1,0.35,1.96,2.42,1.46,1.1,6.94,62.3,39,35.5,48.26
41,Plot 40,40,2,8,1,0.58,2.9,2.16,1.47,0.76,7.29,63.8,46,40,48.26
42,Plot 41,41,2,9,1,0.5,1.46,1.6,1.45,1.02,5.53,68.65,31.5,21,50.8
43,Plot 42,42,2,10,1,0.7,1.76,2.2,1.32,1.16,6.44,57.75,24,34,48.26
44,Plot 43,43,2,11,1,0.55,1.66,1.77,1.12,0.75,5.3,60.85,35,38.5,43.18
45,Plot 44,44,2,12,1,0.58,2.55,1.13,1,0.5,5.18,67.25,42.5,35,50.8
46,Plot 45,45,2,13,1,0.48,1.05,1.91,0.94,0.7,4.6,69.15,30,27.5,50.8
47,Plot 46,46,2,14,1,0.75,2.71,1.31,1.78,1.1,6.9,66.95,35,43,50.8
48,Plot 47,47,2,15,1,0.45,1.34,3.12,1.15,0.85,6.46,66.95,21.5,25,35.56
49,Plot 48,48,2,16,1,0.48,0.63,1.2,0.64,0.55,3.02,66.25,28,19,40.64
50,Plot 49,49,2,17,1,0.43,1.02,1.11,1.1,0.83,4.06,69.2,22,28.5,43.18
51,Plot 50,50,2,18,1,0.6,0.51,0.99,0.67,0.57,2.74,58.6,24,20,30.48
52,Plot 51,51,2,19,1,0.4,0.6,0.72,0.6,0.43,2.35,65.4,26,21,40.64
53,Plot 52,52,2,20,1,0.4,1.42,2.28,1.54,1.4,6.64,64.8,37,26,48.26
54,Plot 53,53,2,21,1,0.5,2.44,1.61,1.02,0.93,6,61.45,40,35,38.1
55,Plot 54,54,2,22,1,0.55,2.12,2.48,1.73,1.21,7.54,64.9,30.5,34,48.26
56,Plot 55,55,2,23,1,0.43,0.43,1.27,0.68,0.2,2.58,59,9,12,27.94
57,Plot 56,56,2,24,1,0.9,3.08,2.57,1.55,1.32,8.52,64.55,43,50,40.64
58,Plot 57,57,2,25,1,0.4,0.8,1.66,1.1,0.77,4.33,63.5,40.5,22,30.48
59,Plot 58,58,2,26,1,0.28,0.64,1.4,1.32,0.66,4.02,61.2,18.5,27.5,30.48
60,Plot 59,59,2,27,1,0.75,1.76,1.88,1.19,1.1,5.93,62.05,29,26.5,38.1
61,Plot 60,60,2,28,1,0.65,0.7,1.01,0.91,0.65,3.27,69.35,15.5,16.5,30.48
62,Plot 61,61,2,29,1,0.5,2.23,1.85,1.28,1.18,6.54,63.8,35,42.5,38.1
63,Plot 62,62,2,30,1,0.68,1.67,1.61,1.29,1.13,5.7,65.55,15.5,31.5,48.26
64,Plot 63,63,2,31,1,0.23,0.21,0.56,0.69,0.55,2.01,62.35,19,20,38.1
